SaleUnits,TargetUnits,AchSale ,LMSU,LMSV
69,47.1264,146,40,19813.6
122,89.6661,136,47,16074.94
119,99.9352,119,13,5366.14
5298.45,4587.0504,116,4533.87,1707727.47
4.66,4.5845,102,1,691.9
58.99,40.3941,146,44,21794.96
183,85.1068,215,42,14364.84
223,141.8053,157,70,28894.6
6808.45,5902.4545,115,2758.87,1039155.97
0.66,4.5845,14,-4,-2767.6
21.99,22.89,96,17,8420.78
57,42.5534,134,20,6840.4
104,86.9002,120,21,8668.38
5085.1,4300.3597,118,2988.26,1125558.01
24.68,6.9022,358,0,0
28.02,24.2364,116,20,9906.8
147.2592,132.9794,111,68.2844,23354.63
106.7362,99.6002,107,45.0764,18606.64
5078.9006,4587.2008,111,5895.7432,2220690.63
1,9.3263,11,0,0
37.3792,37.3899,100,6.711,3324.23
32.2592,53.1918,61,25.2844,8647.77
66.7362,56.8551,117,18.0764,7461.58
2721.9006,2406.891,113,891.7432,335883.99
6,9.3263,64,3,2075.7
13.3792,16.6177,81,8.711,4314.91
55.2592,49.3924,112,8.2844,2833.43
32.7362,58.1001,56,19.0764,7874.36
2689.9006,2522.3192,107,1153.7432,434568.91
12,12.1242,99,10,6919
13.3792,28.804,46,25.711,12735.69
58.3792,45.593,128,51.2844,17540.29
70.6162,65.5702,108,54.0764,22321.66
3500.9006,3195.6501,110,2801.7432,1055304.59
6,3.7305,161,0,0
4.3792,14.2635,31,0.711,352.19
3.3792,5.6991,59,1.2844,439.29
2.6162,10.375,25,6.0764,2508.22
1931.9006,1669.4333,116,1528.7432,575816.41
0,2.3316,0,0,0
0.3792,2.4927,15,0.711,352.19
48.2592,43.6932,110,41.2844,14120.09
70.7362,61.4202,115,55.0764,22734.44
4498.4006,3847.6055,115,2198.7432,806103.61
6,5.5958,107,-1.2,-830.28
12.3792,18.141,68,6.711,3324.23
56.2592,49.3924,114,9.2844,3175.45
73.7362,63.0802,117,7.0764,2921
3432.9006,3146.4863,109,3289.7432,1239114.67
1,4.1968,24,3,2075.7
19.3792,20.7721,93,15.711,7782.29
38.2592,33.3994,115,13.2844,4543.53
81.7362,55.2526,148,28.5764,11795.77
2834.9006,2367.5341,120,1635.7432,616119.03
0,1.6714,0,0.4,276.76
28.3792,16.0276,177,5.711,2828.89
46.2592,42.6909,108,10.2844,3517.47
91.7362,81.8852,112,24.0764,9938.26
4542.9006,3793.1461,120,2956.7432,1113686.89
-1,1.2155,-82,0,0
10.3792,9.6165,108,1.711,847.53
40.2592,33.6505,120,20.2844,6937.67
64.7362,52.8676,122,37.0764,15304.4
3453.9006,3156.7122,109,3491.7432,1315199.99
4,2.8869,139,3,2075.7
8.3792,9.8051,85,2.711,1342.87
4.9792,5.0225,99,0.2844,97.27
12.8162,12.3225,104,13.3764,5521.51
5911.1006,5651.5331,96,4454.8432,1501361.24
0,1.1851,0,0,0
3.0792,3.2998,93,0.711,352.19
22.2592,20.0898,111,5.2844,1807.37
27.7362,24.2476,114,9.0764,3746.56
2621.9006,2087.5032,126,1747.7432,658304.95
0,1.8233,0,0.8,553.52
2.3792,7.3538,32,2.711,1342.87
21.08,32.1438,66,3.6,1231.27
29.22,85.8602,34,49.8,20556.45
5560.7,4582.3241,121,4155.7,1565285.96
2,15.1942,13,3,2075.7
14.1,17.8189,79,8.5,4210.39
106.2592,84.1262,126,39.2844,13436.05
102.7362,85.0652,121,25.0764,10351.04
4492.4006,3818.6034,116,2026.7432,741318.09
4,6.412,62,7,4843.3
33.3792,30.3581,110,28.711,14221.71
218.2792,180.6983,121,198.2844,67817.23
302.7162,210.413,144,233.0764,96209.28
7434.9006,5980.8675,124,6388.7432,2406384.01
6,0.1661,3613,0,0
28.3792,19.3464,147,3.711,1838.21
99.3192,72.2793,137,69.2844,23696.65
101.6762,74.2102,137,76.0764,31402.82
2845.9006,2577.9601,110,1070.7432,403306.13
0,0.9965,0,0,0
10.3792,6.1634,168,2.711,1342.87
39.2976,35.3707,111,5.2832,1806.96
40.6936,35.7476,114,19.0592,7867.26
2213.8968,2027.9953,109,814.7696,306891.12
0,0.9965,0,1,691.9
0.3776,4.3943,9,1.708,846.04
19.2776,26.528,73,1.2832,438.88
63.7136,46.6076,137,28.0592,11582.28
2985.8968,2526.4009,118,3143.7696,1184132.26
0,0.9965,0,0,0
5.3776,9.3022,58,5.708,2827.4
37.3192,26.4693,141,5.2844,1807.37
53.6762,45.2501,119,6.0764,2508.22
2907.9006,2440.4689,119,2951.7432,1111803.59
0,0.9965,0,0,0
10.3792,6.62,157,16.711,8277.63
27.0976,43.06,63,11.2832,3859.08
34.8936,40.2726,87,23.0592,9518.38
1828.8968,1632.7081,112,1728.7696,651158.36
2,1.384,145,0,0
12.3776,11.2426,110,6.708,3322.74
21.5,36.9086,58,17,5814.34
10.5,25.5001,41,3.5,1444.73
2899.5,2589.7726,112,905,340877.3
3,7.5128,40,1,691.9
14.5,9.7415,149,3,1486.02
13.5,75.2935,18,7,2394.14
14.5,124.9503,12,6.5,2683.07
3459.5,3036.2852,114,1442,543143.72
1,2.5852,39,-1,-691.9
20.5,29.2246,70,3,1486.02
23.75,17.7161,134,23,7866.46
30,28.0501,107,11.55,4767.61
2054.6,1786.0501,115,763.85,287711.75
0,0.4725,0,0,0
3.5,9.7415,36,5.55,2749.14
29.25,17.7161,165,17,5814.34
81,76.5002,106,46.45,19173.63
1703.4,1518.1426,112,518.15,195166.37
1.5,5.412,28,0.45,222.9
16.84,20.9149,81,9.91,3389.42
31.03,51.5778,60,23.13,9547.59
3725.21,3009.8252,124,3323.4,1251791.87
0,0.8364,0,0,0
3.65,6.8639,53,6,2972.04
16.32,15.6861,104,9.18,3139.74
30.94,50.2007,62,20.74,8561.06
3235.58,2902.3314,111,3234.2,1218193.75
0,0.7515,0,0,0
3.7,7.8935,47,1,495.34
46.84,41.8297,112,37.91,12965.98
32.03,52.1453,61,25.13,10373.15
2901.21,2289.617,127,466.4,175674.25
1.65,7.5503,22,1,495.34
9,26.1436,34,11,3762.22
4,43.7017,9,3,1238.34
1552,2547.602,61,966,363853.56
1,6.1182,16,0,0
12,12.0119,100,8,3962.72
31,78.7383,39,74,25309.48
49,43.3501,113,29,11970.62
3981,3546.0812,112,4050,1525473
6,0,0,3,2075.7
29,14.6519,198,20,9906.8
7,19.6846,36,4,1368.08
73.4,62.3158,118,38,15685.64
3379.4,2948.1954,115,3121,1175555.86
9,3.9988,225,-3,-2075.7
17,14.6519,116,0,0
5,19.6846,25,4,1368.08
66.4,63.3995,105,128,52835.84
3000.4,2638.9441,114,2809,1058037.94
0,1.4322,0,0,0
2,11.7215,17,0,0
40,39.3692,102,17,5814.34
14,61.7739,23,81,33435.18
3115,2783.2614,112,3014,1135253.24
-2,0,0,0,0
19,17.5823,108,2,990.68
24,25.836,93,10,3420.2
105.4,88.8677,119,7,2889.46
2475.4,2205.9924,112,2535,954833.1
1,0.1909,524,1,691.9
6,4.884,123,3,1486.02
22,20.9149,105,9.5,3249.19
71.9,65.567,110,37,15272.86
1905.9,1690.5736,113,1638,616969.08
14,2.5604,547,1,691.9
5.5,12.6983,43,3,1486.02
27,27.0663,100,26.5,9063.53
103.9,102.9565,101,58,23941.24
3230.9,2803.8781,115,3091,1164256.06
24,2.3699,1013,5,3459.5
36.5,11.7215,311,37,18327.58
4,14.7634,27,6,2052.12
61,53.6458,114,31,12796.18
2200,1999.8249,110,2155,811702.3
1,9.7679,10,0,0
10,19.8691,50,12,4104.24
129,72.9302,177,57.5,23734.85
5627.5,4745.1602,119,5054,1903639.64
0,0.6301,0,0,0
5.7,16.3547,35,10.25,5077.23
10,23.3754,43,2,684.04
61,86.9552,70,70,28894.6
3037,2772.953,110,2237,842588.42
0,1.0973,0,0,0
22,14.7971,149,21,10402.14
18,29.2193,62,43,14706.86
41,36.4651,112,9.5,3921.41
3590.5,2891.582,124,5904,2223800.64
33.7,17.9123,188,30.25,14984.03
6,15.194,39,0,0
19,16.83,113,0,0
2190,1898.0641,115,1628,613202.48
0,2.7678,0,0,0
9.6,7.7879,123,7.5,3715.05
2,29.2193,7,2,684.04
47,67.3202,70,51,21051.78
2611,2520.8664,104,2517,948053.22
4,5.1777,77,1,691.9
31,21.0274,147,22,10897.48
17,15.8718,107,12,17643.48
90,139.5336,65,72,41705.28
538,477.945,113,270,158201.1
139,108.4961,128,99,35027.19
202,140.1125,144,119,47566.68
4,11.2388,36,3,3420.18
6,4.2845,140,5,4717.5
34,10.2876,330,38,13117.22
13,23.0166,56,9,1814.4
12,26.6634,45,13,25553.19
31,17.8558,174,10,14702.9
20,213.9515,9,23,13322.52
1050,828.438,127,498,291793.14
79,80.3675,98,15,5307.15
43,84.0675,51,108,43169.76
3,2.8097,107,1,1140.06
13,6.0487,215,9,8491.5
16,6.8584,233,12,4142.28
48,19.1805,250,46,9273.6
12,30.0672,40,16,31450.08
40,71.4232,56,55,80865.95
120,251.1604,48,397,229958.28
727,605.397,120,650,380854.5
168,76.3491,220,111,39272.91
427,236.6344,180,427,170680.44
7,13.6471,51,57,64983.42
14,3.4444,406,32,30192
2,18.4319,11,4,1380.76
42,12.5545,335,1,201.6
58,26.0961,222,4,7862.52
0,5.2906,0,-16,-23524.64
297,195.347,137,80,46339.2
1017,685.0545,147,210,123045.3
-9,48.2205,-19,0,0
152,31.1361,488,0,0
0,36.9276,0,0,0
0,6.7208,0,25,23587.5
0,2.1432,0,0,0
20,5.231,382,0,0
0,9.0769,0,5,9828.15
18,21.8238,82,7,10292.03
58,130.2313,45,65,37650.6
246,589.4655,42,679,397846.47
100,88.4043,113,148,52363.88
135,130.7717,103,143,57159.96
20,15.6541,128,10,11400.6
18,13.1056,137,22,20757
0,5.1438,0,0,0
0,9.7646,0,-1,-201.6
4,21.5576,19,1,1965.63
1,9.2586,11,3,4410.87
231,192.81,120,157,90940.68
684,597.6828,114,635,372065.55
73,63.9051,114,71,25120.51
112,102.3044,109,169,67552.68
7,6.9758,100,7,7980.42
5,0.4653,1075,0,0
-3,10.4906,-29,0,0
2,7.7953,26,4,806.4
12,32.5256,37,5,9828.15
12,9.2586,130,2,2940.58
21,96.405,22,7,4054.68
315,586.6146,54,698,408979.14
23,82.7008,28,7,2476.67
205,151.2325,136,127,50764.44
4,6.9758,57,2,2280.12
11,13.0281,84,25,23587.5
44,25.8769,170,79,27270.01
2,11.6929,17,0,0
11,34.7948,32,10,19656.3
8,23.8077,34,17.5,25730.05
98,106.5529,92,55.5,32147.82
478,431.6598,111,302.5,177243.73
23.5,116.5329,20,32,11321.95
119.5,120.0964,100,109.5,43769.34
13,7.9724,163,15,17100.9
30.5,7.212,423,3.5,3302.25
13.5,20.9813,64,34,11736.45
21,41.315,51,2,403.2
10,48.4102,21,11.5,22604.75
10,23.8077,42,13.5,19848.89
28,111.6269,25,24.5,14191.38
818,597.6828,137,191.5,112205.5
52.5,112.7738,47,150,53071.53
126.5,71.1683,178,111.5,44568.78
22,2.9896,736,5,5700.3
7.5,2.5591,293,3.5,3302.25
19.5,12.5888,155,24,8284.55
46,17.1496,268,10,2016
35,35.5512,98,12.5,24570.38
10,14.7381,68,17.5,25730.07
135,129.1743,105,39,22590.36
519.5,419.6693,124,630.5,369428.86
72.5,88.6635,82,10.5,3715.01
61.5,81.3987,76,94.5,37773.54
2,2,100,1,1140.06
10,7.8194,128,16,15096
39,35.1944,111,11,3797.09
0,31.5709,0,12,2419.2
60,21.3812,281,2,3931.26
13.6,5.8952,231,3.5,5146.01
65.2,43.4245,150,-1.6,-926.79
325.9,299.7638,109,677.1,396733.21
114.1,27.999,408,2.3,813.77
1.5,8.0064,19,3.3,1319.08
1.6,0.9412,170,0,0
3.2,1.0663,300,0,0
37.6,75.8034,50,35,12081.65
9.2,4.9849,185,0.8,161.28
2.4,22.894,10,-4,-7862.52
26,36.8453,71,33,48519.57
172,137.4194,125,82,47497.68
444,451.2807,98,312,182810.16
6,45.1095,13,5,1769.05
56,66.7202,84,54,21584.88
3,3.0588,98,0,0
26,14.2171,183,34,32079
24,8.1218,296,7,2416.33
3,24.3705,12,4,806.4
3,17.1453,17,0,0
11.4,19.2729,59,19,27935.51
30.8,56.6168,54,13.6,7877.67
354.6,355.3563,100,451.4,264488.79
29.4,68.442,43,47.2,16699.83
14,26.6881,52,8.2,3277.7
0.4,4.5883,9,0,0
0.8,1.0663,75,0,0
23.4,52.1148,45,178,61443.82
2.8,6.0926,46,2.2,443.52
5.6,8.5726,65,-6,-11793.78
12,11.337,106,10,14702.9
58,96.1936,60,61,35333.64
215,381.5175,56,69,40429.17
17,38.8875,44,24,8491.44
68,32.0257,212,27,10792.44
10,9.4118,106,5,5700.3
7,4.976,141,13,12265.5
75,56.8525,132,47,16223.93
2,26.0321,8,1,201.6
0,24.7093,0,0,0
6.4,25.2815,25,7.4,10880.15
1.7,86.8491,2,15,8688.6
136.1,272.5125,50,96.6,56600.83
41.9,41.9985,100,7.6,2688.95
30,52.0418,58,9.7,3877.28
2,3.5294,57,6,6840.36
0,6.3977,0,0,0
142.4,42.6394,334,18.3,6316.98
4,17.724,23,-1.8,-362.88
1,6.1521,16,0,0
15.5,15.3522,101,3,4410.87
216,306.551,70,279,161607.96
1154,952.7456,121,971.5,569230.93
2.5,24.3695,10,-0.5,-176.9
16.5,38.4012,43,36.5,14589.78
3,0.723,415,3,3420.18
0,3.1019,0,1,943.5
17.5,21.5227,81,29,10010.51
-0.5,5.0259,-10,-2,-403.2
46.5,36.4022,128,0,0
25.5,25.9807,98,21.5,31611.24
209.5,169.1316,124,50.5,29251.62
710,635.1638,112,306,179294.56
123.5,124.8937,99,104,36796.24
55,49.373,111,39,15589.08
0,0.2652,0,2,2280.12
6,1.551,387,7,6604.5
0,4.2639,0,6,2071.14
55,28.1451,195,6.5,1310.4
15,41.6025,36,0.5,982.82
165,113.3701,146,152,223484.08
140,116.278,120,64,37071.36
1344,973.9178,138,1221,715420.53
37,100.5242,37,39,13798.59
299,224.9213,133,158,63155.76
6,13.5987,44,19,21661.14
10,6.7208,149,20,18870
7,9.7461,72,11,3797.09
36,36.1865,99,7,1411.2
10,71.0709,14,100,196563
40,37.79,106,50,73514.5
77,116.278,66,48,27803.52
497,444.6146,112,291,170505.63
366,231.5103,158,371,131263.51
85,49.373,172,49,19586.28
3,2.0263,148,0,0
42,33.6041,125,14,13209
13,2.0304,640,3,1035.57
80,30.1554,265,29,5846.4
62,104.0062,60,119,233909.97
4,15.3522,26,12,17643.48
36,63.4244,57,9,5213.16
